Train Acc.	Valid Acc.	
44.146000	52.060000	
63.102000	64.910000	
70.878000	69.570000	
75.420000	69.760000	
77.992000	73.090000	
79.282000	75.360000	
80.172000	76.960000	
80.678000	78.880000	
81.172000	76.130000	
81.946000	75.140000	
81.694000	69.710000	
81.856000	74.960000	
81.998000	79.060000	
82.284000	68.820000	
82.404000	72.960000	
82.764000	76.730000	
82.700000	73.790000	
82.926000	82.190000	
83.054000	70.700000	
82.800000	78.400000	
83.458000	79.760000	
83.452000	76.630000	
83.692000	75.590000	
83.810000	79.040000	
83.766000	79.370000	
83.954000	74.020000	
83.906000	82.070000	
84.250000	80.820000	
84.324000	72.360000	
84.204000	74.780000	
84.464000	82.950000	
84.412000	81.590000	
84.626000	79.750000	
84.674000	80.100000	
84.868000	82.090000	
84.780000	77.840000	
84.806000	78.700000	
84.876000	77.420000	
85.010000	78.550000	
85.158000	77.550000	
85.370000	83.170000	
85.446000	84.160000	
85.354000	84.100000	
85.188000	79.070000	
85.364000	78.120000	
85.356000	80.140000	
85.458000	80.980000	
85.756000	80.650000	
85.738000	77.930000	
85.506000	76.760000	
85.508000	82.010000	
85.988000	83.740000	
85.818000	78.790000	
85.994000	84.410000	
86.054000	83.590000	
86.056000	81.960000	
85.840000	79.270000	
86.104000	84.550000	
86.144000	82.030000	
86.094000	76.790000	
86.660000	82.360000	
86.370000	80.390000	
86.618000	78.730000	
86.422000	83.440000	
86.518000	85.030000	
86.654000	84.120000	
86.618000	83.710000	
86.916000	83.620000	
86.780000	84.760000	
87.140000	82.220000	
87.242000	83.030000	
86.996000	83.830000	
87.066000	81.500000	
87.102000	75.900000	
87.392000	83.960000	
87.340000	83.700000	
87.558000	84.970000	
87.452000	85.910000	
87.582000	84.150000	
87.576000	85.390000	
87.484000	79.980000	
87.812000	78.930000	
87.868000	82.100000	
87.760000	77.690000	
87.882000	84.840000	
88.150000	85.760000	
88.248000	83.950000	
88.126000	85.960000	
88.354000	84.630000	
88.288000	85.670000	
88.446000	83.930000	
88.802000	83.560000	
88.456000	82.920000	
88.768000	81.890000	
88.860000	83.630000	
88.608000	80.060000	
88.878000	87.260000	
88.926000	82.470000	
89.176000	81.580000	
89.050000	84.580000	
89.276000	85.380000	
89.534000	78.860000	
89.324000	85.700000	
89.570000	86.930000	
89.628000	86.030000	
89.632000	85.780000	
89.700000	85.550000	
89.784000	83.720000	
90.048000	87.530000	
89.952000	87.520000	
90.366000	85.740000	
90.408000	87.570000	
90.466000	86.450000	
90.400000	87.250000	
90.574000	87.200000	
90.650000	86.790000	
90.736000	85.980000	
90.838000	84.760000	
90.774000	84.460000	
90.976000	86.680000	
91.152000	85.950000	
91.376000	88.360000	
91.432000	86.440000	
91.446000	87.780000	
91.726000	88.390000	
91.696000	86.650000	
91.958000	88.000000	
91.754000	86.150000	
92.198000	89.000000	
92.182000	88.810000	
92.214000	89.180000	
92.620000	88.530000	
92.570000	88.090000	
92.696000	88.090000	
92.836000	86.520000	
93.086000	88.210000	
92.864000	89.440000	
93.146000	89.840000	
93.248000	88.040000	
93.392000	89.830000	
93.688000	89.870000	
93.522000	89.210000	
93.736000	88.740000	
93.772000	90.530000	
94.164000	89.360000	
94.150000	90.570000	
94.392000	90.150000	
94.396000	89.270000	
94.544000	90.230000	
95.006000	90.560000	
94.892000	89.570000	
94.994000	91.640000	
95.346000	91.300000	
95.436000	91.070000	
95.724000	90.070000	
95.568000	90.710000	
95.824000	91.250000	
96.136000	90.460000	
96.014000	90.710000	
96.134000	91.700000	
96.592000	91.920000	
96.610000	92.070000	
96.768000	92.030000	
96.910000	91.360000	
96.974000	92.160000	
97.254000	91.690000	
97.342000	91.530000	
97.638000	92.660000	
97.770000	92.540000	
97.694000	92.790000	
98.040000	92.280000	
98.138000	92.220000	
98.408000	92.670000	
98.548000	92.110000	
98.734000	92.620000	
98.816000	93.060000	
98.734000	93.010000	
99.018000	93.190000	
99.090000	93.500000	
99.228000	93.300000	
99.344000	93.440000	
99.390000	93.590000	
99.498000	93.400000	
99.564000	93.790000	
99.604000	93.760000	
99.620000	93.840000	
