Train Acc.	Valid Acc.	
26.396000	44.420000	
37.164000	52.590000	
42.034000	60.260000	
46.234000	63.410000	
46.142000	64.840000	
50.502000	67.140000	
51.582000	68.970000	
52.082000	70.070000	
51.788000	67.730000	
53.536000	70.610000	
54.864000	70.620000	
54.166000	74.250000	
55.266000	73.090000	
55.528000	73.570000	
55.932000	75.970000	
56.040000	77.520000	
56.658000	78.180000	
56.490000	77.040000	
58.262000	75.020000	
55.886000	78.990000	
58.236000	77.390000	
57.948000	77.780000	
59.928000	78.290000	
60.588000	78.840000	
58.588000	79.930000	
60.858000	79.400000	
59.268000	80.630000	
59.918000	78.980000	
60.922000	80.310000	
59.520000	79.170000	
58.488000	76.530000	
60.460000	78.150000	
60.428000	79.470000	
59.626000	81.460000	
61.814000	82.680000	
59.826000	80.080000	
62.216000	81.170000	
61.298000	80.670000	
62.180000	81.860000	
61.176000	76.060000	
61.988000	80.490000	
60.228000	82.660000	
62.194000	80.910000	
62.360000	81.400000	
61.884000	81.380000	
61.426000	78.710000	
60.344000	83.260000	
62.288000	81.110000	
60.608000	82.620000	
62.560000	82.410000	
64.030000	80.820000	
62.734000	81.350000	
60.938000	82.070000	
62.676000	81.760000	
63.008000	81.490000	
63.250000	83.970000	
62.114000	81.330000	
62.332000	81.060000	
60.558000	81.290000	
61.530000	83.230000	
63.566000	80.660000	
63.372000	81.570000	
62.748000	84.460000	
65.062000	87.210000	
67.262000	87.420000	
66.128000	87.910000	
66.798000	87.940000	
67.240000	88.030000	
67.970000	88.560000	
67.750000	88.490000	
66.132000	88.470000	
68.138000	88.260000	
66.380000	88.430000	
66.428000	88.050000	
68.044000	88.530000	
68.108000	88.750000	
68.810000	88.800000	
69.030000	88.820000	
67.606000	88.970000	
68.000000	88.580000	
69.310000	88.400000	
68.618000	88.900000	
69.066000	88.910000	
69.094000	88.730000	
69.826000	88.980000	
68.506000	88.550000	
69.394000	89.010000	
67.560000	88.620000	
69.564000	88.950000	
67.558000	88.900000	
69.316000	89.060000	
67.710000	88.580000	
67.260000	88.630000	
69.184000	88.490000	
67.988000	88.910000	
67.142000	88.700000	
65.918000	88.820000	
67.846000	89.040000	
67.976000	88.850000	
67.850000	88.680000	
69.166000	89.060000	
67.940000	88.570000	
69.342000	89.390000	
69.882000	88.920000	
68.358000	89.000000	
67.304000	88.670000	
69.398000	88.330000	
68.690000	88.600000	
67.582000	89.130000	
70.168000	88.910000	
67.586000	89.210000	
68.812000	88.150000	
69.038000	88.860000	
67.794000	89.620000	
67.692000	88.930000	
68.412000	89.060000	
69.096000	88.830000	
69.102000	88.910000	
69.706000	88.930000	
69.334000	88.960000	
69.316000	88.840000	
69.630000	89.060000	
70.082000	89.200000	
68.062000	89.000000	
67.350000	89.160000	
68.108000	89.120000	
68.840000	89.370000	
68.764000	88.950000	
68.718000	89.130000	
69.358000	89.320000	
68.650000	89.450000	
69.520000	89.830000	
69.210000	89.280000	
68.760000	89.220000	
68.964000	89.070000	
68.886000	89.370000	
69.954000	89.350000	
69.880000	89.440000	
70.124000	89.370000	
71.480000	89.470000	
69.662000	89.480000	
69.846000	89.500000	
68.840000	89.200000	
70.142000	89.760000	
71.494000	89.250000	
68.396000	89.470000	
69.172000	89.570000	
69.636000	89.780000	
68.868000	90.240000	
68.514000	89.070000	
70.734000	89.360000	
68.994000	90.050000	
70.902000	89.280000	
71.896000	89.010000	
70.504000	89.560000	
71.482000	89.170000	
69.996000	89.830000	
71.688000	89.500000	
68.590000	89.820000	
70.304000	89.810000	
69.774000	89.670000	
71.366000	89.610000	
70.538000	89.020000	
69.128000	88.950000	
71.040000	90.390000	
69.256000	90.720000	
71.642000	90.610000	
70.924000	90.660000	
71.774000	90.500000	
70.796000	90.550000	
71.750000	90.590000	
70.898000	90.390000	
69.462000	90.800000	
69.726000	90.510000	
71.498000	90.620000	
70.762000	90.900000	
72.144000	90.380000	
70.140000	90.580000	
71.516000	90.480000	
72.508000	90.280000	
71.476000	90.770000	
69.834000	90.440000	
79.272000	71.320000	
82.752000	82.800000	
84.204000	80.300000	
85.032000	82.910000	
85.386000	80.360000	
86.048000	82.070000	
59.560000	77.310000	
61.744000	78.830000	
62.046000	80.690000	
69.998000	88.080000	
70.876000	88.620000	
70.366000	88.370000	
69.688000	88.320000	
69.102000	88.870000	
69.804000	88.200000	
68.770000	88.870000	
67.630000	88.700000	
69.068000	88.540000	
70.036000	89.310000	
69.196000	88.290000	
68.128000	88.350000	
68.266000	88.910000	
69.176000	87.380000	
70.478000	89.190000	
67.518000	88.730000	
69.654000	89.540000	
70.014000	88.220000	
68.858000	88.930000	
68.630000	88.540000	
68.454000	88.420000	
70.174000	88.800000	
68.516000	88.710000	
69.928000	88.640000	
69.654000	88.320000	
70.168000	89.540000	
70.142000	88.720000	
70.684000	88.860000	
70.644000	89.230000	
68.762000	89.430000	
70.202000	87.990000	
70.288000	82.750000	
70.056000	82.690000	
67.720000	75.270000	
66.536000	68.250000	
69.436000	88.770000	
68.012000	86.760000	
67.982000	77.540000	
91.906000	88.500000	
91.604000	87.650000	
92.088000	88.170000	
92.306000	88.600000	
92.300000	86.420000	
92.400000	89.620000	
92.632000	88.040000	
92.554000	87.910000	
92.518000	88.750000	
92.818000	88.950000	
92.810000	88.300000	
92.968000	88.900000	
92.952000	89.260000	
93.032000	88.760000	
93.238000	88.800000	
93.270000	88.610000	
93.122000	90.020000	
93.322000	89.390000	
93.390000	88.460000	
93.404000	88.830000	
93.618000	87.650000	
93.696000	89.150000	
93.672000	89.610000	
93.636000	87.950000	
93.756000	88.680000	
93.668000	89.220000	
93.826000	89.290000	
93.964000	88.730000	
93.954000	88.420000	
93.936000	88.490000	
93.926000	89.390000	
94.116000	89.100000	
94.252000	88.690000	
94.000000	89.800000	
94.368000	89.230000	
94.222000	88.860000	
94.394000	89.740000	
94.344000	88.480000	
94.506000	89.210000	
94.318000	89.340000	
94.378000	89.020000	
94.468000	89.290000	
94.570000	89.230000	
94.564000	88.920000	
94.662000	89.660000	
