Train Acc.	Valid Acc.	
29.620000	49.850000	
39.984000	55.370000	
45.398000	65.130000	
47.986000	65.650000	
49.898000	62.170000	
51.592000	67.800000	
54.728000	71.540000	
54.772000	74.630000	
55.350000	75.770000	
55.734000	75.840000	
57.956000	76.730000	
57.444000	75.750000	
58.884000	76.270000	
59.046000	78.200000	
59.160000	76.430000	
58.840000	76.880000	
60.556000	81.320000	
59.660000	81.550000	
59.788000	77.440000	
62.082000	81.780000	
62.556000	80.970000	
60.748000	81.350000	
60.310000	79.620000	
61.344000	82.410000	
63.544000	83.560000	
60.924000	82.620000	
62.032000	83.810000	
62.064000	81.500000	
62.190000	81.780000	
61.334000	83.500000	
63.078000	83.030000	
62.974000	85.010000	
63.582000	83.200000	
63.112000	84.080000	
63.740000	82.650000	
63.686000	83.440000	
64.712000	84.850000	
63.504000	85.210000	
63.132000	84.100000	
64.106000	86.230000	
63.344000	83.630000	
66.030000	84.590000	
66.170000	83.640000	
65.430000	84.490000	
64.552000	84.350000	
64.146000	85.250000	
65.388000	85.530000	
64.026000	83.390000	
66.398000	84.200000	
64.810000	85.420000	
64.546000	81.320000	
64.406000	85.070000	
64.484000	86.080000	
65.776000	85.750000	
67.428000	85.060000	
66.282000	86.040000	
66.850000	85.490000	
67.208000	86.600000	
64.998000	84.220000	
64.796000	82.630000	
65.698000	86.000000	
64.482000	86.090000	
65.828000	84.450000	
66.620000	86.620000	
66.000000	85.190000	
67.006000	85.870000	
66.068000	84.730000	
65.962000	86.720000	
65.852000	85.480000	
67.046000	87.280000	
66.638000	87.070000	
68.070000	88.260000	
66.858000	87.180000	
66.142000	86.300000	
67.002000	86.970000	
66.572000	87.390000	
67.738000	87.210000	
68.772000	86.500000	
68.114000	87.950000	
67.158000	87.570000	
67.356000	88.120000	
69.838000	87.210000	
66.776000	87.660000	
66.988000	88.610000	
67.968000	87.860000	
68.272000	87.280000	
69.130000	85.170000	
66.960000	86.140000	
69.184000	88.600000	
70.152000	89.390000	
67.796000	86.840000	
69.340000	88.120000	
68.658000	87.740000	
67.742000	88.090000	
66.638000	86.750000	
68.890000	88.660000	
69.786000	87.700000	
67.738000	89.110000	
69.026000	88.820000	
68.924000	89.110000	
69.222000	88.220000	
70.086000	91.420000	
71.796000	91.570000	
72.848000	91.830000	
73.010000	91.760000	
72.000000	92.180000	
72.764000	92.050000	
71.844000	92.420000	
73.268000	92.130000	
72.154000	92.440000	
73.526000	92.280000	
71.362000	92.130000	
73.628000	92.080000	
71.790000	92.020000	
74.112000	92.170000	
73.638000	92.460000	
72.666000	92.210000	
73.838000	92.350000	
72.998000	92.170000	
73.260000	92.330000	
73.624000	92.220000	
74.360000	92.390000	
75.208000	92.480000	
73.410000	91.920000	
74.194000	92.570000	
73.346000	92.150000	
71.896000	92.460000	
72.572000	92.640000	
71.898000	92.470000	
76.384000	92.590000	
74.058000	92.420000	
77.368000	92.280000	
73.728000	92.370000	
73.314000	92.410000	
