Train Acc.	Valid Acc.	
28.616000	48.500000	
40.394000	57.300000	
45.092000	65.390000	
49.642000	65.240000	
50.926000	69.970000	
53.502000	70.180000	
55.930000	73.630000	
54.514000	75.640000	
58.094000	75.010000	
58.068000	75.550000	
61.046000	79.820000	
59.624000	80.010000	
60.148000	79.100000	
60.210000	79.600000	
62.172000	78.420000	
60.276000	82.630000	
61.774000	78.310000	
64.362000	80.480000	
65.264000	81.780000	
63.918000	82.140000	
63.762000	85.600000	
63.200000	84.680000	
64.914000	81.780000	
66.368000	83.680000	
62.040000	83.660000	
64.418000	83.800000	
66.074000	86.440000	
65.472000	85.710000	
64.732000	85.800000	
66.794000	84.920000	
66.156000	85.960000	
65.230000	86.280000	
64.740000	87.400000	
67.442000	84.270000	
66.698000	87.420000	
67.936000	85.480000	
68.030000	86.310000	
68.420000	87.270000	
67.162000	85.140000	
68.674000	81.370000	
70.568000	88.330000	
68.568000	87.280000	
67.300000	86.020000	
67.494000	86.980000	
69.148000	88.590000	
69.872000	88.810000	
71.150000	87.580000	
70.092000	88.090000	
70.258000	86.720000	
70.320000	87.800000	
68.134000	87.720000	
70.274000	86.400000	
69.398000	84.640000	
68.090000	86.960000	
69.434000	89.170000	
72.724000	88.890000	
68.514000	89.200000	
71.590000	88.710000	
74.366000	89.510000	
71.632000	87.840000	
68.846000	89.950000	
70.958000	90.020000	
71.910000	90.710000	
73.566000	89.890000	
71.968000	90.650000	
71.914000	89.710000	
71.288000	90.010000	
71.040000	89.940000	
70.604000	88.900000	
71.024000	91.360000	
71.902000	90.200000	
76.116000	90.170000	
74.516000	91.480000	
73.198000	89.580000	
73.396000	89.340000	
73.520000	91.250000	
74.418000	89.950000	
71.314000	91.210000	
72.096000	91.050000	
72.506000	91.270000	
74.144000	91.710000	
73.752000	91.140000	
73.736000	90.830000	
75.226000	91.870000	
74.322000	91.570000	
72.526000	91.480000	
75.844000	91.370000	
73.490000	91.370000	
74.126000	91.170000	
76.954000	90.530000	
73.788000	91.070000	
72.444000	90.860000	
75.604000	90.550000	
73.360000	91.960000	
75.480000	91.700000	
75.810000	91.560000	
75.770000	92.200000	
74.150000	92.450000	
76.018000	91.940000	
76.466000	91.540000	
74.092000	91.140000	
70.590000	91.740000	
78.564000	92.110000	
75.124000	91.860000	
74.904000	91.590000	
73.730000	92.890000	
73.250000	90.320000	
71.966000	93.000000	
74.784000	91.910000	
76.076000	92.860000	
74.494000	92.510000	
74.048000	92.430000	
78.280000	93.470000	
74.740000	91.840000	
76.938000	91.170000	
72.696000	93.220000	
78.366000	92.760000	
76.004000	92.390000	
77.400000	92.650000	
76.570000	93.050000	
79.714000	93.100000	
74.154000	92.670000	
75.806000	93.270000	
75.264000	93.600000	
74.652000	93.430000	
